order_id,items
341,"20074,1276"
342,"2447,28735,5003,6478,7895,1561,8174,9988,3073,5578,4818,9008,3849,1458,1274,4389,17522,7935,2651,564,19077,11378,3518,3036,1636,8054,518,68,1123,17110,3505,4804,14495,5124,523,91,1819,5315,1261"
343,"3468,19399"
344,6119
345,7693
346,"10965,7297,1409,3264,11918,28592,991"
347,913
348,"19681,12129,4964,4797,12007,4761,9225,5010,20518,11924,14145,3633,4902,5486,21804,1406,4760,3267,3966,3025,2607,12951,21965,10108,9054,6380"
349,488
350,"12039,3041,6018,7003,6680,1617,4253,7154,10752,1031,6249,5290,4436"
351,"27037,7734,1446,4550,11246,8241"
352,"18057,8971,3398,19931,9735,475,10114,19681,5248,251"
353,"4153,1909"
354,13552
355,"7165,4438,1224,3382,11050,1644,10223"
356,"5425,5912"
357,"8356,11089,3037"
358,9320
359,27044
360,5492
361,"6703,9657"
362,2549
363,664
364,1949
365,2607
366,"5446,4917,5322,1220,1308,19729,720,2954,8285,8274"
367,"7987,11144,13972,21923,7446,4949,3264,11948"
368,6112
369,"17481,9497,10984,12058,3831,8010,1973,9997,17845"
370,1851
371,"2006,2129,533,2358,477"
372,"29171,1273,2993,3489,1130"
373,29240
374,"10658,1019,3961,18482,5057,8129,1124,29169,29351,7554,9823,1608,11945,1604,1079,5042,29305,9818,315,12344,4486,1260,6380,2632,9559,9780,1027,8568,20759,17752,6688"
375,19697
376,2820
377,18362
378,"17522,9490,29312"
379,3600
380,477
381,"4462,7996,7367,29369,10130"
382,9029
383,"3421,8465,1162,20674,2851,17951,7791,2038,350,27038,1141,17085,9802,12292,9818,3101,2245,2610,5340,8605,21930,1155,4229,4805,3753,17666,847,2022,1829,1809,2808,5442,1829,4818,6577,31,1042,7938,2044,12113,3606,3315,2096,18195,9589,9017,12344,7444,5448,3397,2412,556,7878,17851,9800,7314,9443,925,22240,28533,8053,4862,2610,13978,20400,8150,5636,8252,21931,6446,96,1948,5453,6305,5255,2493,11073"
384,10462
385,"937,29332,1007,19836"
386,"19271,13043,20031,4025,21924,19964"
387,8289
388,2324
389,839
390,3420
391,226
392,"7988,29310,3414,9562,1437"
393,2410
394,"5350,19328,4462,21904,1311,3305,7703"
395,16027
396,"1073,2051,1398,1378,6038,2329,7825,20253,1409,9962"
397,"5881,12548"
398,4238
399,"11059,744"
400,29339
401,12382
402,17482
403,"999,5337,28923,1817,4529,1000,7346,19801,29325,6469,4943"
404,1755
405,"10584,17655"
406,5508
407,"9704,2760,18545,18829,99,3011,10732,2862,20990,10882,5206,20863,6422,13225,1787,19343,11034,1143,3618,1091,2021,2379,5360,2818,29343,18738,7949,18453,3705,458,1296,14553,7859,6727,13028,9980,17686,3303,805"
408,"6761,3435,10462,946,14731,7495,6484,292,11264,1622,7647"
409,"476,6996,16753,18203,7087,20549,29221,21930,12307,2560,4807,12423,9562,1009,10631,1352,8289,5272,1369,18965,19174,5874,554,1518,4415,20912,1082,577,8285,5158,1543,720,4495,1485,3950,21964,5354,2408"
410,12140
411,908
412,"1104,1397,17735,2610,7740,7418,19328,2847,18199,2221,7933"
413,"2585,12444,9973,7285,3955"
414,1950
415,17769
416,5530
417,"19613,3732,1270,17845,1755,4177,7677,8542,1182,1230,17359,416,9954,29249,85,4738,1409,1944,5003,937,12199,17715,8199,3412"
418,10118
419,978
